Land,City,Town,Explorer,Dahan
🍌Q4,,,1,
🍌Q5,,,,
🍌Q6,,1,1,2
🍌Q7,,,3,
🍌Q8,,1,2,1
🍌R1,1,1,2,2
🍌R2,,1,,
🍌R3,,2,,
🍌R4,,,4,2
🍌R5,2,2,4,
🍌R6,,1,1,
🍌R7,,2,1,1
🍌R8,,,,
🍌S1,,2,3,3
🍌S2,1,2,3,3
🍌S3,,,2,2
🍌S4,,,2,
🍌S5,,,,
🍌S6,,1,1,
🍌S7,,1,1,
🍌S8,,,,
🍌T1,,1,,1
🍌T2,,1,,2
🍌T3,,2,,1
🍌T4,1,1,4,
🍌T5,,,,
🍌T6,,,,2
🍌T7,,1,1,
🍌T8,1,6,4,
🍌U1,,2,,3
🍌U2,3,3,,
🍌U3,,2,4,
🍌U4,,,,
🍌U5,1,1,4,
🍌U6,,,2,
🍌U7,,1,1,2
🍌U8,,,,
🎈P7,,,,
🎈P8,,,,1
🎈Q8,,,,
🎈R1,,,,
🎈R2,2,3,,1
🎈R3,,2,,
🎈R4,,,,
🎈R5,,,,2
🎈R6,,,1,
🎈R7,,,3,1
🎈R8,,,,3
🎈S1,,2,,1
🎈S2,,,,2
🎈S3,,1,1,2
🎈S4,,,13,2
🎈S5,,,,
🎈S6,,1,3,
🎈S7,,,,2
🎈S8,,,,
🎈T1,,,,
🎈T2,,,6,4
🎈T3,,,,
🎈T4,,,,
🎈T5,,,,
🎈T6,,,,
🎈T7,,,,
🎈T8,,,,
🎈U1,,,,
🎈U2,,,,
🎈U3,,,,
🎈U4,,,1,
🎈U5,,1,2,2
🎈U6,,,1,4
🎈U7,,1,1,
🎈U8,,,,
⚡P1,,,,
⚡P2,,1,10,2
⚡P3,,1,,2
⚡P4,,3,1,
⚡P5,,,,
⚡P6,1,2,2,
⚡P7,,1,1,
⚡P8,,,1,
⚡Q1,,2,,
⚡Q2,1,,3,3
⚡Q3,1,2,2,3
⚡Q4,1,,,
⚡Q5,,2,2,
⚡Q6,,1,1,
⚡Q7,,,,2
⚡Q8,,1,,1
⚡R1,,2,3,1
⚡R2,1,,3,1
⚡R3,,1,,1
⚡R4,,,,
⚡R5,,2,2,
⚡R6,,,3,
⚡R7,,,,3
⚡R8,1,3,1,
⚡S1,1,4,3,2
⚡S2,1,2,,1
⚡S3,,1,,1
⚡S4,,,3,
⚡S5,,,,
⚡S6,,1,1,
⚡S7,,,,
⚡S8,,,,
🇲🇺Q1,,,,3
🇲🇺Q2,,1,,1
🇲🇺Q3,,,,
🇲🇺Q4,3,10,2,1
🇲🇺Q5,,1,1,2
🇲🇺Q6,,4,1,2
🇲🇺Q7,,1,3,
🇲🇺Q8,,1,1,
🇲🇺R1,,1,,
🇲🇺R2,,,,
🇲🇺R3,,1,1,
🇲🇺R4,,,,
🇲🇺R6,,,1,
🇲🇺R7,,,,
🇲🇺R8,,,,
🇲🇺S1,,,,
🇲🇺S2,,,,
🇲🇺S3,,2,,
🇲🇺S4,,,,
🇲🇺S5,,1,1,
🇲🇺S6,,2,,
🇲🇺S7,,,1,
🇲🇺S8,,1,1,
🇲🇺T1,,2,,1
🇲🇺T2,,,,
🇲🇺T3,,,,
🇲🇺T4,,,,2
🇲🇺T5,,,,
🇲🇺T6,2,9,,
🇲🇺T7,,1,3,
🇲🇺T8,,,1,1
🇲🇺U8,1,4,1,
👻P1,,1,,1
👻P2,10,28,1,3
👻P3,,,,
👻P4,,,,
👻P5,,,,
👻P6,,,,1
👻P7,,,3,
👻P8,,,,
👻Q1,,,1,
👻Q2,1,5,6,4
👻Q3,,1,2,2
👻Q4,,,,
👻Q5,,1,2,
👻Q6,1,1,4,
👻Q7,,,,
👻Q8,,2,1,
👻U1,,1,,
👻U2,,1,,2
👻U3,,,,
👻U4,,1,1,3
👻U5,,,,
👻U6,,,6,3
👻U7,,1,,
👻U8,,,3,
💖P1,,2,,2
💖P2,2,4,,
💖P3,,1,,1
💖P4,,,3,1
💖P5,,,,
💖P6,,1,,
💖P7,,,,3
💖P8,,1,1,
💖Q1,,1,,
💖Q2,1,2,1,1
💖Q3,,,,3
💖Q4,,,,
💖Q5,,1,2,
💖Q6,,1,1,
💖Q7,,,,2
💖Q8,1,2,1,
💖R1,2,2,,
💖R2,1,1,,
💖R3,1,3,3,
💖R4,2,3,1,
💖R5,,2,,
💖R6,,,1,1
💖R7,,1,1,2
💖R8,,,,2
💖T1,1,1,,2
💖T2,2,3,,
💖T3,,2,,
💖T4,,1,1,
💖T5,,1,1,3
💖T6,1,2,3,
💖T7,,1,1,
💖T8,,1,,
💖S1,1,2,,
💖S2,1,1,,
💖S3,1,2,,
💖S4,,,1,
💖S5,,,,
💖S6,,1,1,2
💖S7,,1,,
💖S8,,3,3,2
💖U1,,2,2,1
💖U2,2,4,1,
💖U3,1,1,,2
💖U4,2,1,,
💖U5,,,,
💖U6,1,3,2,
💖U7,,1,1,5
💖U8,,2,1,
😎P1,1,3,,1
😎P2,,2,1,
😎P3,1,1,,3
😎P4,,,,
😎P5,,,,
😎P6,,1,1,
😎P7,,,3,
😎P8,,1,1,1
😎R1,2,2,,
😎R2,,,1,2
😎R3,,1,,
😎R4,,,,
😎R5,,1,1,
😎R6,,,,1
😎R7,,,1,
😎R8,,1,1,
😎T1,,,,
😎T2,,1,,
😎T3,,1,,
😎T4,,1,1,
😎T5,,,,
😎T6,,,,
😎T7,,1,,
😎T8,,1,2,3
😎U1,,,,
😎U2,,1,,
😎U3,1,3,2,3
😎U4,,,,
😎U5,,1,7,4
😎U6,,,,
😎U7,,3,3,
😎U8,,1,1,
🏝️P1,,,,
🏝️P2,,,,
🏝️P3,,1,,
🏝️P4,,,,
🏝️P5,,,,
🏝️P6,,,,2
🏝️P7,,1,1,
🏝️P8,,,,
🏝️Q1,,3,,3
🏝️Q2,2,2,,
🏝️Q3,,2,,
🏝️Q4,,,,
🏝️Q5,,3,1,2
🏝️Q6,,2,2,
🏝️Q7,,1,2,3
🏝️Q8,1,2,4,
🏝️R1,,,,
🏝️R2,,,,
🏝️R3,,2,,
🏝️R4,,,,
🏝️R5,,,2,
🏝️R6,,,1,
🏝️R7,,,,
🏝️R8,,,,
🏝️S1,2,4,2,2
🏝️S2,,,,
🏝️S3,,,,1
🏝️S4,,1,2,1
🏝️S5,,2,,
🏝️S6,,,,
🏝️S7,,1,2,
🏝️S8,2,4,2,
🏝️T1,,1,3,1
🏝️T2,1,3,1,
🏝️T3,1,2,4,2
🏝️T4,,1,5,2
🏝️T5,,,1,
🏝️T6,,,,
🏝️T7,,,1,
🏝️T8,,1,1,
🏝️U1,,1,3,5
🏝️U2,1,2,2,
🏝️U3,1,3,2,1
🏝️U4,,,4,
🏝️U5,,,,
🏝️U6,,2,3,2
🏝️U7,,1,3,2
🏝️U8,,,,2
⚽P1,,1,1,2
⚽P2,,,,
⚽P3,,2,3,2
⚽P4,,,,
⚽P5,,,,2
⚽P6,,,1,1
⚽P7,2,4,3,
⚽P8,,,1,1
⚽Q1,,2,,
⚽Q2,,2,1,1
⚽Q3,,,,
⚽Q4,,2,4,2
⚽Q5,,,,
⚽Q6,2,6,3,
⚽Q7,,,1,
⚽Q8,,1,2,4
⚽R1,,,1,1
⚽R2,,,,
⚽R3,,2,1,1
⚽R4,,,6,1
⚽R5,,4,3,1
⚽R6,,1,1,1
⚽R7,,,,
⚽R8,,,1,3
⚽S1,1,1,,1
⚽S2,2,1,,
⚽S3,,2,1,2
⚽S4,,,,
⚽S5,,1,1,3
⚽S6,,,,
⚽S7,,,5,
⚽S8,,1,1,
🌱P1,,2,,2
🌱P2,3,5,1,
🌱P3,,1,1,3
🌱P4,,1,,1
🌱P5,,1,,
🌱P6,,1,2,4
🌱P7,,1,1,3
🌱P8,,1,2,4
🌱Q1,,1,,
🌱Q2,3,2,5,
🌱Q3,2,2,,
🌱Q4,,2,2,
🌱Q5,,3,1,2
🌱Q6,,,,
🌱Q7,,1,,
🌱Q8,,1,2,3
🌱R1,,2,,1
🌱R2,,2,1,7
🌱R3,,1,,
🌱R4,,,1,
🌱R5,,,4,
🌱R6,,,,
🌱R7,,,,
🌱R8,,1,1,2
🌱S1,,1,,
🌱S2,,1,,
🌱S3,,,,
🌱S4,,,,
🌱S5,,,,
🌱S6,,,2,3
🌱S7,,,2,3
🌱S8,2,4,3,
🌱T1,,1,1,
🌱T2,,,,9
🌱T3,,,,
🌱T4,1,2,2,
🌱T5,,,3,
🌱T6,,,1,
🌱T7,,,,
🌱T8,,,1,
🌵T1,,2,,2
🌵T2,,3,3,3
🌵T3,,1,,
🌵T4,,,,
🌵T5,,,2,
🌵T6,,1,,
🌵T7,,,,
🌵T8,,,,1
🌵U1,,1,2,2
🌵U2,3,3,,
🌵U3,,2,1,1
🌵U4,,1,1,1
🌵U5,,1,,
🌵U6,,2,2,2
🌵U7,,1,1,
🌵U8,,1,,
🧩P1,,1,,3
🧩P2,,,1,1
🧩P3,,,,
🧩P4,,1,,
🧩P5,,,,
🧩P6,,,,
🧩P7,,,3,
🧩P8,,,,4
🧩Q1,,1,2,2
🧩Q2,1,5,,2
🧩Q3,,,,
🧩Q4,,,,
🧩Q5,,,4,2
🧩Q6,,1,1,2
🧩Q7,,,1,
🧩Q8,,,1,
🧩R1,,,2,3
🧩R2,1,2,3,3
🧩R3,,,,
🧩R4,,,,
🧩R5,,,,
🧩R6,,,1,
🧩R7,,,1,
🧩R8,,,,
♾️P1,,1,,1
♾️P2,2,2,,
♾️P3,,2,5,3
♾️P4,,1,1,1
♾️P5,,1,2,
♾️P6,,1,2,3
♾️P7,,1,1,
♾️P8,,,,2
♾️Q1,,1,1,
♾️Q2,2,2,,
♾️Q3,,1,6,1
♾️Q4,,1,1,1
♾️Q5,,1,1,
♾️Q6,,1,2,2
♾️Q7,1,2,2,
♾️Q8,,,,
♾️R1,2,5,,1
♾️R2,1,3,2,
♾️R3,,1,2,2
♾️R4,,1,1,
♾️R5,,,,
♾️R6,,1,2,3
♾️R7,,,3,
♾️R8,,1,1,
♾️S1,,2,6,5
♾️S2,2,4,,
♾️S3,,,,1
♾️S4,,,2,1
♾️S5,,,,
♾️S6,,,,
♾️S7,,,2,
♾️S8,,,1,
♾️T1,,1,,3
♾️T2,2,3,2,
♾️T3,,2,1,1
♾️T4,,4,,
♾️T5,,2,2,
♾️T6,,2,4,2
♾️T7,,,2,1
♾️T8,,1,,
🌙P1,,1,1,3
🌙P2,2,2,1,
🌙P3,,,,
🌙P4,,1,,
🌙P5,,,1,1
🌙P6,,,1,1
🌙P7,2,2,3,
🌙P8,,1,1,
🌙Q1,,,1,1
🌙Q2,,2,3,4
🌙Q3,,,,
🌙Q4,,,,
🌙Q5,,,,
🌙Q6,,,,
🌙Q7,,,,1
🌙Q8,,,,
🌙R1,,,1,1
🌙R2,,,,
🌙R3,,5,,4
🌙R4,,,1,
🌙R5,,,,4
🌙R6,,,,1
🌙R7,,,,
🌙R8,,,,1
🌙S1,,,,
🌙S2,,,,
🌙S3,,,1,
🌙S4,,,,
🌙S5,,,,
🌙S6,,,,1
🌙S7,,,,2
🌙S8,,,1,
